pid	graphType	setIndex	obsIndex	edgeAB.true	edgeAC.true	edgeBC.true	activations.A	activations.B	activations.C	explanation.node1	explanation.node2	explanation.nodes_active	explanation.cause	edgeAB.response	edgeAC.response	edgeBC.response	responseTime
4	separate	0	1	none	none	none	True	False	True	C	A	True	False	forward	none	backward	15507
4	separate	0	2	none	none	none	False	True	False	C	A	False	False	forward	none	backward	12922
4	separate	0	3	none	none	none	False	True	True	C	B	True	False	forward	none	none	34073
4	separate	0	4	none	none	none	True	False	False	C	B	False	False	forward	none	none	8497
4	separate	0	5	none	none	none	False	False	True	A	B	False	False	backward	none	none	25482
4	separate	0	6	none	none	none	True	True	False	A	B	True	False	backward	none	none	4224
4	separate	0	7	none	none	none	True	True	False	B	A	True	False	none	none	backward	43631
4	separate	0	8	none	none	none	False	True	False	A	C	False	False	none	none	backward	9150
4	separate	0	9	none	none	none	True	False	True	C	A	True	False	none	none	backward	4364
4	line	1	0	none	backward	forward	False	False	False	B	C	False	True	none	none	forward	12363
4	line	1	1	none	backward	forward	False	False	False	B	C	False	True	none	none	forward	5182
4	line	1	2	none	backward	forward	False	True	False	A	C	False	False	none	forward	forward	22597
4	line	1	3	none	backward	forward	True	True	True	A	C	True	False	none	forward	forward	5694
4	line	1	4	none	backward	forward	False	False	False	C	B	False	False	none	forward	forward	8481
4	line	1	5	none	backward	forward	False	True	True	B	C	True	False	none	forward	forward	6499
4	line	1	6	none	backward	forward	True	False	True	C	A	True	True	none	backward	forward	16141
4	line	1	7	none	backward	forward	True	True	True	A	B	True	False	none	backward	forward	2987
4	line	1	8	none	backward	forward	True	True	True	B	C	True	True	none	backward	forward	2683
4	line	1	9	none	backward	forward	True	False	True	C	A	True	True	none	backward	forward	2147
4	common_effect	2	0	forward	none	backward	True	True	False	A	B	True	True	forward	none	none	5281
4	common_effect	2	1	forward	none	backward	True	True	False	B	A	True	False	forward	none	none	10798
4	common_effect	2	2	forward	none	backward	False	True	True	B	C	True	False	forward	none	none	7205
4	common_effect	2	3	forward	none	backward	False	False	False	A	B	False	False	forward	none	backward	8807
4	common_effect	2	4	forward	none	backward	True	True	False	B	A	True	False	forward	none	backward	38568
4	common_effect	2	5	forward	none	backward	False	False	False	C	B	False	True	forward	none	backward	3994
4	common_effect	2	6	forward	none	backward	True	False	True	A	C	True	False	forward	none	backward	1952
4	common_effect	2	7	forward	none	backward	False	False	False	B	A	False	False	forward	none	backward	3460
4	common_effect	2	8	forward	none	backward	True	False	False	B	C	False	False	forward	none	forward	21525
4	common_effect	2	9	forward	none	backward	False	False	True	B	A	False	False	forward	none	forward	4431
4	common_cause	3	0	forward	forward	none	True	True	True	B	C	True	False	none	none	none	19110
4	common_cause	3	1	forward	forward	none	True	True	True	B	C	True	False	none	forward	none	6660
4	common_cause	3	2	forward	forward	none	False	False	False	A	B	False	False	none	forward	none	5953
4	common_cause	3	3	forward	forward	none	True	True	True	A	C	True	True	none	forward	none	3226
4	common_cause	3	4	forward	forward	none	True	True	True	C	B	True	False	none	forward	none	14185
4	common_cause	3	5	forward	forward	none	False	False	True	A	B	False	False	forward	forward	none	6346
4	common_cause	3	6	forward	forward	none	False	False	True	B	A	False	False	backward	forward	none	7104
4	common_cause	3	7	forward	forward	none	False	False	False	A	B	False	True	forward	forward	none	7078
4	common_cause	3	8	forward	forward	none	False	False	False	B	A	False	False	forward	forward	none	6081
4	common_cause	3	9	forward	forward	none	True	True	True	C	A	True	False	forward	forward	none	4824
4	skip	4	0	backward	forward	forward	False	False	False	B	A	False	True	backward	none	none	6063
4	skip	4	1	backward	forward	forward	False	False	False	B	A	False	True	backward	none	none	2942
4	skip	4	2	backward	forward	forward	True	True	False	B	A	True	True	backward	none	none	1882
4	skip	4	3	backward	forward	forward	False	False	False	A	C	False	True	backward	forward	none	4539
4	skip	4	4	backward	forward	forward	False	False	False	C	A	False	False	backward	forward	none	5808
4	skip	4	5	backward	forward	forward	True	False	True	A	C	True	True	backward	forward	none	1669
4	skip	4	6	backward	forward	forward	False	False	False	A	B	False	False	backward	forward	none	2651
4	skip	4	7	backward	forward	forward	True	True	True	B	A	True	False	backward	forward	none	2698
4	skip	4	8	backward	forward	forward	False	False	True	B	A	False	True	backward	forward	none	4701
4	skip	4	9	backward	forward	forward	False	False	False	A	C	False	False	backward	forward	none	2698
4	pair	5	0	backward	none	none	False	False	False	C	A	False	False	none	backward	none	9671
4	pair	5	1	backward	none	none	False	False	True	B	A	False	True	backward	backward	none	4921
4	pair	5	2	backward	none	none	False	True	True	B	C	True	False	backward	backward	forward	4781
4	pair	5	3	backward	none	none	False	False	False	A	B	False	False	backward	backward	forward	9819
4	pair	5	4	backward	none	none	True	True	False	B	A	True	True	backward	backward	forward	3917
