condition	seed	graphType	obsIndex	edge	response_sample	response_max	p_none	p_forward	p_backward
explanations	0	common_cause	1000	BC	forward	forward	0.0	1.0	0.0
explanations	0	common_effect	1000	AB	none	none	1.0	0.0	0.0
explanations	0	common_effect	1000	AC	forward	forward	0.0	1.0	0.0
explanations	0	common_effect	1000	BC	forward	forward	0.0	1.0	0.0
explanations	0	line	1000	AB	none	none	1.0	0.0	0.0
explanations	0	line	1000	AC	forward	forward	0.0	1.0	0.0
explanations	0	line	1000	BC	backward	backward	0.0	0.0	1.0
explanations	0	pair	1000	AB	none	none	1.0	0.0	0.0
explanations	0	pair	1000	AC	none	none	1.0	0.0	0.0
explanations	0	pair	1000	BC	forward	forward	0.0	1.0	0.0
explanations	0	separate	1000	AB	none	none	1.0	0.0	0.0
explanations	0	separate	1000	AC	none	none	1.0	0.0	0.0
explanations	0	separate	1000	BC	none	none	1.0	0.0	0.0
explanations	0	skip	1000	AB	backward	backward	3.03e-08	0.0	0.9999999697
explanations	0	skip	1000	AC	backward	backward	0.0	0.0	1.0
explanations	0	skip	1000	BC	forward	forward	0.0	1.0	0.0
both	1	common_cause	1000	AB	backward	backward	0.0	0.0	1.0
both	1	common_cause	1000	AC	none	none	1.0	0.0	0.0
both	1	common_cause	1000	BC	forward	forward	0.0	1.0	0.0
both	1	common_effect	1000	AB	forward	forward	0.0	1.0	0.0
both	1	common_effect	1000	AC	none	none	1.0	0.0	0.0
both	1	common_effect	1000	BC	backward	backward	0.0	0.0	1.0
both	1	line	1000	AB	backward	backward	0.0	0.0	1.0
both	1	line	1000	AC	forward	forward	0.0	1.0	0.0
both	1	line	1000	BC	none	none	1.0	0.0	0.0
both	1	pair	1000	AB	none	none	1.0	0.0	0.0
both	1	pair	1000	AC	none	none	1.0	0.0	0.0
both	1	pair	1000	BC	backward	backward	0.0	0.0	1.0
both	1	separate	1000	AB	none	none	1.0	0.0	0.0
both	1	separate	1000	AC	none	none	1.0	0.0	0.0
both	1	separate	1000	BC	none	none	1.0	0.0	0.0
both	1	skip	1000	AB	forward	forward	0.0	1.0	0.0
both	1	skip	1000	AC	forward	forward	0.0	1.0	0.0
both	1	skip	1000	BC	forward	forward	0.0	1.0	0.0
activations	1	common_cause	1000	AB	backward	backward	-0.0	0.1908501075	0.8091498925
activations	1	common_cause	1000	AC	none	none	1.0	0.0	0.0
activations	1	common_cause	1000	BC	backward	forward	-0.0	0.7382028703	0.2617971297
activations	1	common_effect	1000	AB	forward	forward	-0.0	1.0	0.0
activations	1	common_effect	1000	AC	none	none	1.0	0.0	0.0
activations	1	common_effect	1000	BC	backward	backward	0.0	0.0	1.0
activations	1	line	1000	AB	backward	backward	-0.0	0.3029702804	0.6970297196
activations	1	line	1000	AC	forward	forward	-0.0	0.8564877619	0.1435122381
activations	1	line	1000	BC	none	none	1.0	0.0	0.0
activations	1	pair	1000	AB	none	none	1.0	0.0	0.0
activations	1	pair	1000	AC	none	none	1.0	0.0	0.0
activations	1	pair	1000	BC	backward	backward	0.0	0.0738737933	0.9261262067
activations	1	separate	1000	AB	none	none	1.0	0.0	0.0
activations	1	separate	1000	AC	none	none	1.0	0.0	0.0
activations	1	separate	1000	BC	none	none	1.0	0.0	0.0
activations	1	skip	1000	AB	backward	forward	0.0	0.8694936654	0.1305063346
activations	1	skip	1000	AC	forward	forward	-0.0	1.0	0.0
activations	1	skip	1000	BC	forward	forward	-0.0	1.0	0.0
explanations	1	common_cause	1000	AB	backward	backward	0.0	0.0	1.0
explanations	1	common_cause	1000	AC	none	none	1.0	0.0	0.0
explanations	1	common_cause	1000	BC	forward	forward	0.0	1.0	0.0
explanations	1	common_effect	1000	AB	forward	forward	0.0	1.0	0.0
explanations	1	common_effect	1000	AC	none	none	1.0	0.0	0.0
explanations	1	common_effect	1000	BC	backward	backward	0.0	0.0	1.0
explanations	1	line	1000	AB	backward	backward	0.0	0.0	1.0
explanations	1	line	1000	AC	forward	forward	0.0	1.0	0.0
explanations	1	line	1000	BC	none	none	1.0	0.0	0.0
explanations	1	pair	1000	AB	none	none	1.0	0.0	0.0
explanations	1	pair	1000	AC	none	none	1.0	0.0	0.0
explanations	1	pair	1000	BC	backward	backward	0.0	0.0	1.0
explanations	1	separate	1000	AB	none	none	1.0	0.0	0.0
explanations	1	separate	1000	AC	none	none	1.0	0.0	0.0
explanations	1	separate	1000	BC	none	none	1.0	0.0	0.0
explanations	1	skip	1000	AB	forward	forward	0.0	1.0	0.0
explanations	1	skip	1000	AC	forward	forward	0.0	1.0	0.0
explanations	1	skip	1000	BC	forward	forward	0.0	1.0	0.0
both	2	common_cause	1000	AB	forward	forward	0.0	1.0	0.0
both	2	common_cause	1000	AC	forward	forward	0.0	1.0	0.0
both	2	common_cause	1000	BC	none	none	1.0	0.0	0.0
both	2	common_effect	1000	AB	none	none	1.0	0.0	0.0
both	2	common_effect	1000	AC	forward	forward	0.0	1.0	0.0
both	2	common_effect	1000	BC	forward	forward	0.0	1.0	0.0
both	2	line	1000	AB	forward	forward	0.0	1.0	0.0
both	2	line	1000	AC	none	none	1.0	0.0	0.0
both	2	line	1000	BC	forward	forward	0.0	1.0	0.0
both	2	pair	1000	AB	none	none	1.0	0.0	0.0
both	2	pair	1000	AC	none	none	1.0	0.0	0.0
both	2	pair	1000	BC	forward	forward	0.0	1.0	0.0
both	2	separate	1000	AB	none	none	1.0	0.0	0.0
both	2	separate	1000	AC	none	none	1.0	0.0	0.0
both	2	separate	1000	BC	none	none	1.0	0.0	0.0
both	2	skip	1000	AB	forward	forward	0.0	1.0	0.0
both	2	skip	1000	AC	backward	backward	0.0	0.0	1.0
both	2	skip	1000	BC	backward	backward	0.0	0.0	1.0
activations	2	common_cause	1000	AB	backward	backward	0.0	0.3739196306	0.6260803694
activations	2	common_cause	1000	AC	forward	forward	0.0	0.8955874392	0.1044125608
activations	2	common_cause	1000	BC	none	none	1.0	0.0	0.0
activations	2	common_effect	1000	AB	none	none	1.0	0.0	0.0
activations	2	common_effect	1000	AC	forward	forward	-0.0	1.0	0.0
activations	2	common_effect	1000	BC	forward	forward	-0.0	1.0	0.0
activations	2	line	1000	AB	backward	backward	-0.0	0.2419516412	0.7580483588
activations	2	line	1000	AC	none	none	1.0	0.0	0.0
activations	2	line	1000	BC	forward	forward	-0.0	0.8040191706	0.1959808294
activations	2	pair	1000	AB	none	none	1.0	0.0	0.0
activations	2	pair	1000	AC	none	none	1.0	0.0	0.0
activations	2	pair	1000	BC	forward	forward	0.0	0.7797699379	0.2202300621
activations	2	separate	1000	AB	none	none	1.0	0.0	0.0
activations	2	separate	1000	AC	none	none	1.0	0.0	0.0
activations	2	separate	1000	BC	none	none	1.0	0.0	0.0
activations	2	skip	1000	AB	forward	forward	-0.0	1.0	0.0
activations	2	skip	1000	AC	backward	backward	0.0	0.1861766734	0.8138233266
activations	2	skip	1000	BC	backward	backward	0.0	0.0	1.0
explanations	2	common_cause	1000	AB	forward	forward	0.0	1.0	0.0
explanations	2	common_cause	1000	AC	forward	forward	0.0	1.0	0.0
explanations	2	common_cause	1000	BC	none	none	1.0	0.0	0.0
explanations	2	common_effect	1000	AB	none	none	1.0	0.0	0.0
explanations	2	common_effect	1000	AC	forward	forward	0.0	1.0	0.0
explanations	2	common_effect	1000	BC	forward	forward	0.0	1.0	0.0
explanations	2	line	1000	AB	forward	forward	0.0	1.0	0.0
explanations	2	line	1000	AC	none	none	1.0	0.0	0.0
explanations	2	line	1000	BC	forward	forward	0.0	1.0	0.0
explanations	2	pair	1000	AB	none	none	1.0	0.0	0.0
explanations	2	pair	1000	AC	none	none	1.0	0.0	0.0
explanations	2	pair	1000	BC	forward	forward	0.0	1.0	0.0
explanations	2	separate	1000	AB	none	none	1.0	0.0	0.0
explanations	2	separate	1000	AC	none	none	1.0	0.0	0.0
explanations	2	separate	1000	BC	none	none	1.0	0.0	0.0
explanations	2	skip	1000	AB	forward	forward	0.0	1.0	0.0
explanations	2	skip	1000	AC	backward	backward	0.0	0.0	1.0
explanations	2	skip	1000	BC	backward	backward	0.0	0.0	1.0
both	3	common_cause	1000	AB	forward	forward	0.0	1.0	0.0
both	3	common_cause	1000	AC	forward	forward	0.0	1.0	0.0
both	3	common_cause	1000	BC	none	none	1.0	0.0	0.0
both	3	common_effect	1000	AB	none	none	1.0	0.0	0.0
both	3	common_effect	1000	AC	forward	forward	0.0	1.0	0.0
both	3	common_effect	1000	BC	forward	forward	0.0	1.0	0.0
both	3	line	1000	AB	none	none	1.0	0.0	0.0
both	3	line	1000	AC	backward	backward	0.0	0.0	1.0
both	3	line	1000	BC	forward	forward	0.0	1.0	0.0
both	3	pair	1000	AB	none	none	1.0	0.0	0.0
both	3	pair	1000	AC	none	none	1.0	0.0	0.0
both	3	pair	1000	BC	forward	forward	0.0	1.0	0.0
both	3	separate	1000	AB	none	none	1.0	0.0	0.0
both	3	separate	1000	AC	none	none	1.0	0.0	0.0
both	3	separate	1000	BC	none	none	1.0	0.0	0.0
both	3	skip	1000	AB	backward	backward	0.0	0.0	1.0
both	3	skip	1000	AC	backward	backward	0.0	0.0	1.0
both	3	skip	1000	BC	forward	forward	0.0	1.0	0.0
activations	3	common_cause	1000	AB	forward	forward	0.0	0.9555031503	0.0444968497
activations	3	common_cause	1000	AC	forward	forward	0.0	0.7331872344	0.2668127656
activations	3	common_cause	1000	BC	none	none	1.0	0.0	0.0
activations	3	common_effect	1000	AB	none	none	1.0	0.0	0.0
activations	3	common_effect	1000	AC	forward	forward	-0.0	1.0	0.0
activations	3	common_effect	1000	BC	forward	forward	-0.0	1.0	0.0
activations	3	line	1000	AB	none	none	1.0	0.0	0.0
activations	3	line	1000	AC	backward	backward	-0.0	0.4270874218	0.5729125782
activations	3	line	1000	BC	backward	backward	0.0	0.2269717665	0.7730282335
activations	3	pair	1000	AB	none	none	1.0	0.0	0.0
activations	3	pair	1000	AC	none	none	1.0	0.0	0.0
activations	3	pair	1000	BC	forward	backward	-0.0	0.3470202247	0.6529797753
activations	3	separate	1000	AB	none	none	1.0	0.0	0.0
activations	3	separate	1000	AC	none	none	1.0	0.0	0.0
activations	3	separate	1000	BC	none	none	1.0	0.0	0.0
activations	3	skip	1000	AB	backward	backward	0.0	0.0	1.0
activations	3	skip	1000	AC	backward	backward	0.0	0.0	1.0
activations	3	skip	1000	BC	backward	forward	-0.0	0.6529797753	0.3470202247
explanations	3	common_cause	1000	AB	forward	forward	0.0	1.0	0.0
explanations	3	common_cause	1000	AC	forward	forward	0.0	1.0	0.0
explanations	3	common_cause	1000	BC	none	none	1.0	0.0	0.0
explanations	3	common_effect	1000	AB	none	none	1.0	0.0	0.0
explanations	3	common_effect	1000	AC	forward	forward	0.0	1.0	0.0
explanations	3	common_effect	1000	BC	forward	forward	0.0	1.0	0.0
explanations	3	line	1000	AB	none	none	1.0	0.0	0.0
explanations	3	line	1000	AC	backward	backward	0.0	0.0	1.0
explanations	3	line	1000	BC	forward	forward	0.0	1.0	0.0
explanations	3	pair	1000	AB	none	none	1.0	0.0	0.0
explanations	3	pair	1000	AC	none	none	1.0	0.0	0.0
explanations	3	pair	1000	BC	forward	forward	0.0	1.0	0.0
explanations	3	separate	1000	AB	none	none	1.0	0.0	0.0
explanations	3	separate	1000	AC	none	none	1.0	0.0	0.0
explanations	3	separate	1000	BC	none	none	1.0	0.0	0.0
explanations	3	skip	1000	AB	backward	backward	0.0	0.0	1.0
explanations	3	skip	1000	AC	backward	backward	0.0	0.0	1.0
explanations	3	skip	1000	BC	forward	forward	0.0	1.0	0.0
both	4	common_cause	1000	AB	none	none	1.0	0.0	0.0
both	4	common_cause	1000	AC	backward	backward	0.0	0.0	1.0
both	4	common_cause	1000	BC	backward	backward	0.0	0.0	1.0
both	4	common_effect	1000	AB	none	none	1.0	0.0	0.0
both	4	common_effect	1000	AC	forward	forward	0.0	1.0	0.0
both	4	common_effect	1000	BC	forward	forward	0.0	1.0	0.0
both	4	line	1000	AB	backward	backward	0.0	0.0	1.0
both	4	line	1000	AC	none	none	1.0	0.0	0.0
both	4	line	1000	BC	backward	backward	0.0	0.0	1.0
both	4	pair	1000	AB	none	none	1.0	0.0	0.0
both	4	pair	1000	AC	forward	forward	0.0	1.0	0.0
both	4	pair	1000	BC	none	none	1.0	0.0	0.0
both	4	separate	1000	AB	none	none	1.0	0.0	0.0
