seed	graph_type	AB	AC	BC
19	common_cause	backward	none	forward
19	line	forward	backward	none
19	pair	none	none	backward
19	skip	forward	backward	backward
19	separate	none	none	none
19	common_effect	forward	none	backward
19	common_cause	backward	none	forward
19	line	forward	backward	none
19	pair	none	none	backward
19	skip	forward	backward	backward
19	separate	none	none	none
19	common_effect	forward	none	backward
19	common_cause	backward	none	forward
19	line	forward	backward	none
